name,total.pop,white,black,hispanic,asian
"alabama,autauga",54571,77.2,19.3,2.4,0.9
"alabama,baldwin",182265,83.5,10.9,4.4,0.7
"alabama,barbour",27457,46.8,47.8,5.1,0.4
"alabama,bibb",22915,75,22.9,1.8,0.1
"alabama,blount",57322,88.90000000000002,2.5,8.1,0.20000000000000004
"alabama,bullock",10914,21.9,71,7.1,0.2
"alabama,butler",20947,54.099999999999994,44.2,0.8999999999999999,0.8000000000000002
"alabama,calhoun",118572,73.6,22.2,3.3,0.7
"alabama,chambers",34215,58.1,39.9,1.6,0.5
"alabama,cherokee",25989,92.1,6.1,1.2,0.2
"alabama,chilton",43643,81.1,10.9,7.799999999999999,0.3
"alabama,choctaw",13859,55.6,43.8,0.5,0.1
"alabama,clarke",25833,54,44.6,1,0.3
"alabama,clay",13932,80.29999999999998,16.5,2.8999999999999995,0.2
"alabama,cleburne",14972,93.2,4.4,2.1,0.2
"alabama,coffee",49948,72.3,19.2,6.4,1.3
"alabama,colbert",54428,79.6,17.7,2,0.4
"alabama,conecuh",13228,51.1,47.5,1.2,0.10000000000000002
"alabama,coosa",11539,65.9,31.9,2,0.1
"alabama,covington",37765,84.1,13.9,1.3,0.4
"alabama,crenshaw",13906,72.1,24.9,1.5,1.4
"alabama,cullman",80406,92.7,2.2,4.3,0.4
"alabama,dale",50251,71.1,22.3,5.6,1.1
"alabama,dallas",43820,28.9,70.1,0.7,0.3
"alabama,de kalb",NA,NA,NA,NA,NA
"alabama,elmore",79303,75,21.5,2.7,0.7
"alabama,escambia",38319,61.29999999999999,33.4,1.8999999999999997,0.2
"alabama,etowah",104430,79.3,16.6,3.3,0.6
"alabama,fayette",17241,86,12.4,1.2,0.2
"alabama,franklin",31704,79.6,5.5,14.9,0.2
"alabama,geneva",26790,84.7,11,3.4,0.3
"alabama,greene",9045,17.3,82,0.8,0.2
"alabama,hale",15760,39.4,59.6,0.9,0.2
"alabama,henry",17302,67.8,29.6,2.2,0.3
"alabama,houston",101547,68.7,27.5,2.9,0.8
"alabama,jackson",53227,90.09999999999998,5.900000000000001,2.5,0.3
"alabama,jefferson",658466,51.7,43.1,3.9,1.4
"alabama,lamar",14564,86.1,12.5,1.2,0
"alabama,lauderdale",92709,85.5,11.4,2.2,0.7
"alabama,lawrence",34339,76.9,15.800000000000002,1.7,0.1
"alabama,lee",140247,69.8,24.4,3.3,2.6
"alabama,limestone",82782,78.7,14.4,5.5,1.1
"alabama,lowndes",11299,25.1,74.1,0.8,0.1
"alabama,macon",21452,15.199999999999998,83.7,1.1,0.4000000000000001
"alabama,madison",334811,66.1,26.5,4.6,2.5
"alabama,marengo",21027,45.7,52.5,1.7000000000000002,0.3
"alabama,marion",30776,92.6,5,2.1,0.2
"alabama,marshall",93019,83.9,3.3000000000000003,12.1,0.5
"alabama,mobile",412992,59.1,36.1,2.4,1.8
"alabama,monroe",23068,54.7,43.1,1,0.3
"alabama,montgomery",229363,38.4,56,3.6,2.1
"alabama,morgan",119490,77.5,13.8,7.7,0.6
"alabama,perry",10591,29.700000000000003,69.1,1.1,0.3
"alabama,pickens",19746,55.800000000000004,42.8,1.6,0.2
"alabama,pike",32899,57.4,38.1,2.2,2
"alabama,randolph",22913,75.4,21.2,2.8,0.2
"alabama,russell",52947,52.1,43.9,3.7000000000000006,0.4000000000000001
"alabama,st clair",83593,87.3,9.9,2.1,0.6
"alabama,shelby",195085,80.2,12,5.9,1.9
"alabama,sumter",13763,24,75.3,0.6,0.20000000000000004
"alabama,talladega",82291,64.5,33,2,0.4
"alabama,tallapoosa",41616,69.3,27.6,2.5,0.5
"alabama,tuscaloosa",194656,65,30.7,3.1,1.2
"alabama,walker",67023,90.4,7.1,2,0.3
"alabama,washington",17581,65.2,26.1,0.9,0.1
"alabama,wilcox",11670,26.6,73,0.6,0
"alabama,winston",24484,94.9,1.9,2.6,0.2
"arizona,apache",71518,20.4,2.2,5.8,0.3
"arizona,cochise",131346,58.5,8.2,32.4,1.9
"arizona,coconino",134421,55.2,4.3,13.5,1.4
"arizona,gila",53597,65.9,2.4,17.9,0.5
"arizona,graham",37220,52.3,4.7,30.4,0.5
"arizona,greenlee",8437,48.1,4.8,47.9,0.5
"arizona,maricopa",3817117,58.7,8.4,29.6,3.5
"arizona,mohave",200186,79.6,3.7,14.8,1.1
"arizona,navajo",107449,43.9,3.2999999999999994,10.800000000000002,0.5
"arizona,pima",980263,55.3,7.2,34.6,2.6
"arizona,pinal",375770,58.7,8.4,28.5,1.7
"arizona,santa cruz",47420,16,2.4,82.8,0.5
"arizona,yavapai",211033,82,3.1,13.6,0.8000000000000002
"arizona,yuma",195751,35.3,5.8,59.7,1.2
"arkansas,arkansas",19019,71,25.8,2.7,0.5
"arkansas,ashley",21853,68.2,26.9,4.9,0.2
"arkansas,baxter",41513,96,1.6,1.6999999999999997,0.4
"arkansas,benton",221339,76.6,3.9,15.5,2.9
"arkansas,boone",36903,95.2,1.9,1.8000000000000003,0.4
"arkansas,bradley",11508,58,28.900000000000002,13.200000000000001,0.19999999999999998
"arkansas,calhoun",5368,73.4,23.6,2.8,0.20000000000000004
"arkansas,carroll",27446,84,2.6,12.699999999999998,0.6
"arkansas,chicot",11800,40.3,54.9,4.6,0.5
"arkansas,clark",22995,70.4,25,4,0.5
"arkansas,clay",16083,96.9,1.6,1.3,0.1
"arkansas,cleburne",25970,95.9,1.7,2,0.2
"arkansas,cleveland",8689,85.1,12.9,1.7,0.1
"arkansas,columbia",24552,59.2,37.9,2.2,0.7
"arkansas,conway",21273,82.4,13.2,3.6,0.4
"arkansas,craighead",96443,79.6,14.9,4.4,1.1
"arkansas,crawford",61948,86.8,4,6.1,1.4
"arkansas,crittenden",50902,45.20000000000001,52.29999999999999,2,0.6
"arkansas,cross",17870,74.7,23.3,1.5,0.5
"arkansas,dallas",8116,54.1,43.1,2.3,0.1
